Action,Date,Price,Quantity,Capital,Company Index
Sell (Updated Stop Loss),2024-02-09,130.866,486,63550.46013218239,143
Buy,2024-02-06,592.75,107,63550.46013218239,19
Sell (Updated Stop Loss),2024-03-05,604.605,107,64648.67561386304,19
Buy,2024-02-07,1866.0,34,64648.67561386304,52
Sell (Updated Stop Loss),2024-02-16,1903.32,34,65747.24154439823,52
Buy,2024-02-07,3607.5,18,65747.24154439823,95
Sell (Updated Stop Loss),2024-02-09,3679.65,18,66872.26414542123,95
Buy,2024-02-08,3097.2,21,66872.26414542123,70
Sell (Updated Stop Loss),2024-02-12,2867.3685,21,61878.728086338895,70
Buy,2024-02-09,2628.05,23,61878.728086338895,100
Sell (Updated Stop Loss),2024-02-19,2680.6110000000003,23,62924.081685356774,100
Buy,2024-02-21,4984.7,12,62924.081685356774,50
Sell (DEMA Condition),2024-03-01,5489.85,12,68818.31726859079,50
Buy,2024-02-23,2075.9,33,68818.31726859079,105
Sell (Updated Stop Loss),2024-03-19,1908.96,33,63135.24947924099,105
Buy,2024-02-23,241.15,261,63135.24947924099,125
Sell (Updated Stop Loss),2024-02-27,245.973,261,64224.87497152986,125
Buy,2024-02-23,17.55,3659,64224.87497152986,148
Sell (Updated Stop Loss),2024-02-27,16.198999999999998,3659,59116.466143784244,148
Buy,2024-02-29,9149.6,6,59116.466143784244,57
Sell (Updated Stop Loss),2024-03-13,8342.97,6,54132.28137671603,57
Buy,2024-02-29,606.7,89,54132.28137671603,59
Sell (Max Holding Period),2024-04-02,571.7,89,50872.96351202003,59
Buy,2024-03-06,2831.55,17,50872.96351202003,82
Sell (Updated Stop Loss),2024-03-11,2888.181,17,51699.90673833485,82
Buy,2024-03-07,425.25,121,51699.90673833485,93
Sell (Updated Stop Loss),2024-03-13,384.12,121,46586.613118038156,93
Buy,2024-03-20,3873.6,12,46586.613118038156,15
Sell (Updated Stop Loss),2024-03-27,3951.072,12,47384.22244440872,15
Buy,2024-03-27,5475.55,8,47384.22244440872,76
Sell (Updated Stop Loss),2024-04-03,5585.061000000001,8,48134.29848513024,76
Buy,2024-04-02,201.05,239,48134.29848513024,102
Sell,2024-04-16,209.092,239,49919.67217332626,102
Buy,2024-04-03,3006.3,16,49919.67217332626,116
Sell,2024-04-18,3126.552,16,51706.92629881554,116
Buy,2024-04-05,730.35,70,51706.92629881554,86
Sell (Updated Stop Loss),2024-04-26,744.957,70,52586.891993217636,86
Buy,2024-04-10,3795.3,13,52586.891993217636,77
Sell (Updated Stop Loss),2024-04-15,3561.937,13,49419.166291524125,77
Buy,2024-04-10,970.7,50,49419.166291524125,112
Sell (DEMA Condition),2024-05-06,1032.35,50,52362.62499324912,112
Buy,2024-04-10,302.5,173,52362.62499324912,141
Sell (Updated Stop Loss),2024-04-15,308.55,173,53264.02573657762,141
Buy,2024-04-23,216.85,245,53264.02573657762,102
Sell (Updated Stop Loss),2024-04-25,221.187,245,54179.54646350147,102
Buy,2024-04-24,164.65,329,54179.54646350147,143
Sell (Updated Stop Loss),2024-05-22,167.943,329,55113.54959685061,143
Buy,2024-04-25,1127.0,48,55113.54959685061,4
Sell (Updated Stop Loss),2024-05-02,1149.54,48,56046.242317647404,4
Buy,2024-04-25,812.7,68,56046.242317647404,40
Sell (Max Holding Period),2024-05-28,831.15,68,57148.8144637694,40
Buy,2024-04-25,1311.85,43,57148.8144637694,109
Sell (DEMA Condition),2024-05-21,1502.05,43,65165.0951222024,109
Buy,2024-04-26,1278.75,50,65165.0951222024,46
Sell (DEMA Condition),2024-05-24,1321.75,50,67142.69490445241,46
Buy,2024-04-26,185.0,362,67142.69490445241,104
Sell (DEMA Condition),2024-05-07,194.1,362,70256.4441009704,104
Buy,2024-04-26,90.75,774,70256.4441009704,118
Sell (Updated Stop Loss),2024-05-06,83.032,774,64105.30648972212,118
Buy,2024-04-30,441.55,145,64105.30648972212,83
Sell (Updated Stop Loss),2024-05-06,450.38100000000003,145,65214.17739100567,83
Buy,2024-04-30,507.15,128,65214.17739100567,85
Sell (Updated Stop Loss),2024-05-06,517.293,128,66338.84865596183,85
Buy,2024-04-30,463.2,143,66338.84865596183,126
Sell (Updated Stop Loss),2024-05-08,472.464,143,67486.98491156392,126
Buy,2024-05-07,2379.4,28,67486.98491156392,22
Sell (Max Holding Period),2024-06-07,2577.8,28,72859.98377682794,22
Buy,2024-05-07,558.45,130,72859.98377682794,66
Sell,2024-06-04,580.788,130,75571.33797612054,66
Buy,2024-05-07,1322.35,57,75571.33797612054,68
Sell (Max Holding Period),2024-06-07,1427.9,57,81385.42777050305,68
Buy,2024-05-07,583.5,139,81385.42777050305,81
Sell (Updated Stop Loss),2024-05-15,595.17,139,82797.40144248074,81
Buy,2024-05-08,1405.15,58,82797.40144248074,109
Sell (Updated Stop Loss),2024-05-10,1433.2530000000002,58,84216.3344076612,109
Buy,2024-05-10,6155.65,13,84216.3344076612,142
Sell (Updated Stop Loss),2024-05-14,6278.763,13,85609.0901742252,142
Buy,2024-05-15,7119.3,12,85609.0901742252,90
Sell (Updated Stop Loss),2024-06-04,6718.22,12,80583.5002107148,90
Buy,2024-05-16,4603.7,17,80583.5002107148,70
Sell (DEMA Condition),2024-05-28,5019.75,17,87446.45796227331,70
Buy,2024-05-17,1093.7,79,87446.45796227331,74
Sell (Updated Stop Loss),2024-05-24,1115.574,79,88952.40161115865,74
Buy,2024-05-17,169.0,526,88952.40161115865,75
Sell (DEMA Condition),2024-05-28,180.25,526,94637.55584225366,75
Buy,2024-05-17,1087.05,87,94637.55584225366,112
Sell (Updated Stop Loss),2024-06-04,1108.791,87,96288.4886107831,112
Buy,2024-05-23,1443.35,66,96288.4886107831,1
Sell (Updated Stop Loss),2024-06-04,1472.2169999999999,66,97951.62498436148,1
Buy,2024-05-24,1573.5,62,97951.62498436148,109
Sell,2024-06-03,1636.44,62,101604.46151432268,109
Buy,2024-05-31,755.8,134,101604.46151432268,53
Sell (Updated Stop Loss),2024-06-04,770.9159999999999,134,103374.34904505844,53
Buy,2024-06-04,2496.3,41,103374.34904505844,22
Sell (Updated Stop Loss),2024-06-06,2546.226,41,105163.24243747057,22
Buy,2024-06-07,484.55,217,105163.24243747057,49
Sell (DEMA Condition),2024-07-05,535.1,217,115858.30466019508,49
Buy,2024-06-11,90.95,1273,115858.30466019508,118
Sell (DEMA Condition),2024-06-24,96.91,1273,123151.12817621126,118
Buy,2024-06-11,315.25,390,123151.12817621126,141
Sell (Updated Stop Loss),2024-06-25,321.555,390,125305.53883670676,141
Buy,2024-06-13,1436.1,87,125305.53883670676,63
Sell (Max Holding Period),2024-07-16,1408.2,87,122574.70436869578,63
Buy,2024-06-14,1730.9,70,122574.70436869578,71
Sell (DEMA Condition),2024-06-27,1793.45,70,126650.50698650078,71
Buy,2024-06-14,1066.85,118,126650.50698650078,80
Sell (Updated Stop Loss),2024-06-20,1088.187,118,128857.09992504492,80
Buy,2024-06-20,469.95,274,128857.09992504492,97
Sell (Updated Stop Loss),2024-06-26,435.6755,274,119161.58495676814,97
Buy,2024-06-20,273.25,436,119161.58495676814,135
Sell (Updated Stop Loss),2024-06-26,251.4725,436,109383.91514851103,135
Buy,2024-07-04,1759.3,62,109383.91514851103,129
Sell (DEMA Condition),2024-07-12,1797.75,62,111494.33916357004,129
Buy,2024-07-05,188.23,592,111494.33916357004,75
Sell (DEMA Condition),2024-07-18,205.82,592,121619.91573487406,75
Buy,2024-07-05,26.64,4565,121619.91573487406,149
Sell (Max Holding Period),2024-08-07,24.05,4565,109510.95920838055,149
Buy,2024-07-09,12827.7,8,109510.95920838055,32
Sell (Updated Stop Loss),2024-08-02,13084.254,8,111304.70210316982,32
Buy,2024-07-12,560.15,198,111304.70210316982,49
Sell (Updated Stop Loss),2024-07-22,525.3035,198,104137.89202112879,49
Buy,2024-07-12,2690.7,38,104137.89202112879,134
Sell (DEMA Condition),2024-07-24,2869.85,38,110682.43019308981,134
Buy,2024-07-16,1108.45,99,110682.43019308981,80
Sell (Updated Stop Loss),2024-07-25,1130.6190000000001,99,112602.42250953382,80
Buy,2024-07-23,3466.85,32,112602.42250953382,47
Sell (Max Holding Period),2024-08-23,3570.0,32,115624.56264510182,47
Buy,2024-07-24,1094.0,105,115624.56264510182,132
Sell (Updated Stop Loss),2024-08-14,995.414,105,105000.83934676812,132
Buy,2024-07-25,1820.5,57,105000.83934676812,52
Sell (Updated Stop Loss),2024-07-29,1856.91,57,106814.93311706543,52
Buy,2024-07-25,176.85,603,106814.93311706543,73
Sell (Updated Stop Loss),2024-07-31,180.387,603,108679.98924851262,73
Buy,2024-07-26,4790.6,22,108679.98924851262,13
Sell (Updated Stop Loss),2024-08-02,4886.412,22,110522.91209496118,13
Buy,2024-07-26,1684.9,65,110522.91209496118,109
Sell (Updated Stop Loss),2024-08-01,1718.5980000000002,65,112439.0352786085,109
Buy,2024-07-26,3029.8,37,112439.0352786085,134
Sell (Updated Stop Loss),2024-08-05,2716.0,37,100563.82876284249,134
Buy,2024-08-01,1275.2,78,100563.82876284249,51
Sell (Updated Stop Loss),2024-08-12,1086.3515,78,85600.7466451484,51
Buy,2024-08-02,262.34,326,85600.7466451484,98
Sell (Updated Stop Loss),2024-08-07,267.5868,326,87091.08493962248,98
Buy,2024-08-09,6275.35,13,87091.08493962248,95
Sell (DEMA Condition),2024-08-26,6925.6,13,95325.49371225398,95
Buy,2024-08-27,536.45,177,95325.49371225398,83
Sell (Updated Stop Loss),2024-09-02,547.1790000000001,177,96983.13912896956,83
Buy,2024-08-28,6127.55,15,96983.13912896956,29
Sell (DEMA Condition),2024-09-11,6299.3,15,99324.03131401706,29
Buy,2024-08-29,1121.65,88,99324.03131401706,44
Sell (Updated Stop Loss),2024-09-09,1034.02,88,91373.55258839544,44
Buy,2024-08-30,688.7,132,91373.55258839544,101
Sell (Updated Stop Loss),2024-09-06,702.474,132,92959.45358328015,101
Buy,2024-09-04,445.1,208,92959.45358328015,122
Sell (Updated Stop Loss),2024-09-11,415.3055,208,86535.1463106919,122
Buy,2024-09-06,800.65,108,86535.1463106919,86
Sell (Updated Stop Loss),2024-10-03,755.533,108,81447.62735795545,86
Buy,2024-09-10,5426.45,15,81447.62735795545,13
Sell (Max Holding Period),2024-10-11,6142.25,15,91963.64411330046,13
Buy,2024-09-10,445.35,206,91963.64411330046,93
Sell (DEMA Condition),2024-10-03,471.8,206,97174.16085454145,93
Buy,2024-09-20,2950.85,32,97174.16085454145,31
Sell (DEMA Condition),2024-10-01,3165.5,32,103797.19479986945,31
Buy,2024-09-20,1067.95,97,103797.19479986945,133
Sell (Updated Stop Loss),2024-09-25,1089.309,97,105608.14162817411,133
Buy,2024-09-20,4291.95,24,105608.14162817411,146
Sell (Updated Stop Loss),2024-10-21,4377.789,24,107408.71960644555,146
Buy,2024-09-24,160.53,669,107408.71960644555,45
Sell (DEMA Condition),2024-10-04,166.75,669,111298.19559459834,45
Buy,2024-09-25,2127.7,52,111298.19559459834,145
Sell (Updated Stop Loss),2024-10-09,1951.7369999999999,52,101884.0310938003,145
Buy,2024-09-26,13383.8,7,101884.0310938003,32
Sell (Updated Stop Loss),2024-10-07,12445.1,7,95084.0273573673,32
Buy,2024-09-27,367.3,258,95084.0273573673,8
Sell (Updated Stop Loss),2024-10-04,335.95950000000005,258,86768.36143297609,8
Buy,2024-09-27,180.01,482,86768.36143297609,73
Sell (Updated Stop Loss),2024-10-04,166.355,482,79973.0190100658,73
Buy,2024-10-01,7326.55,10,79973.0190100658,142
Sell (Updated Stop Loss),2024-10-18,6695.3279999999995,10,73477.015296252,142
Buy,2024-10-09,5989.75,12,73477.015296252,13
Sell (Updated Stop Loss),2024-10-15,6109.545,12,74725.2184516186,13
Buy,2024-10-11,210.26,355,74725.2184516186,108
Sell (Updated Stop Loss),2024-10-16,192.4965,355,68232.31036667275,108
Buy,2024-10-17,3080.2,22,68232.31036667275,134
Sell (Updated Stop Loss),2024-10-31,2858.59,22,63183.78843069296,134
Buy,2024-10-23,1271.9,49,63183.78843069296,132
Sell (Updated Stop Loss),2024-11-22,1159.15,49,57498.814316263466,132
Buy,2024-10-29,200.7,286,57498.814316263466,117
Sell,2024-11-12,208.728,286,59636.85958648579,117
Buy,2024-10-30,155.55,383,59636.85958648579,75
Sell (Updated Stop Loss),2024-11-18,137.934,383,52737.20850022967,75
Buy,2024-10-31,3622.3,14,52737.20850022967,30

Final Capital:,2025.0085002296692
Final Profit Percentage:,-94.93747874942584
Maximum Profit:,16404.4
Maximum Loss:,-14730.183000000005
Accuracy:,71.05263157894737
Maximum Drawdown:,59.07310615332298
