token,symbol,name
6125,GOODLUCK-EQ,GOODLUCK
13086,AIAENG-EQ,AIAENG
15332,NMDC-EQ,NMDC
17475,NV20IETF-EQ,NV20IETF
7254,MEDPLUS-EQ,MEDPLUS
10515,UTISENSETF-EQ,UTISENSETF
19705,LIQUIDSBI-EQ,LIQUIDSBI
2183,SUNDARMHLD-EQ,SUNDARMHLD
5366,WINDLAS-EQ,WINDLAS
16696,GHCLTEXTIL-EQ,GHCLTEXTIL
3432,TATACONSUM-EQ,TATACONSUM
4041,JAYAGROGN-EQ,JAYAGROGN
4184,SANGAMIND-EQ,SANGAMIND
19943,DEEPAKNTR-EQ,DEEPAKNTR
18220,KECL-EQ,KECL
4529,NEXT50IETF-EQ,NEXT50IETF
9641,KHANDSE-EQ,KHANDSE
3757,VENKEYS-EQ,VENKEYS
8882,TNIDETF-EQ,TNIDETF
13987,ABSLBANETF-EQ,ABSLBANETF
5049,CLEAN-EQ,CLEAN
11072,AGRITECH-EQ,AGRITECH
19237,MONIFTY500-EQ,MONIFTY500
15184,BRIGADE-EQ,BRIGADE
18908,PNBHOUSING-EQ,PNBHOUSING
11571,PPLPHARMA-EQ,PPLPHARMA
13900,CREST-EQ,CREST
11655,JBMA-EQ,JBMA
17333,MHRIL-EQ,MHRIL
7880,AUTOBEES-EQ,AUTOBEES
13441,BALPHARMA-EQ,BALPHARMA
19073,AARVI-EQ,AARVI
12847,KRISHANA-EQ,KRISHANA
29733,NIBL-EQ,NIBL
1412,AGI-EQ,AGI
3676,VESUVIUS-EQ,VESUVIUS
20556,INDIASHLTR-EQ,INDIASHLTR
2188,GENCON-EQ,GENCON
8654,MOLOWVOL-EQ,MOLOWVOL
18154,HATHWAY-EQ,HATHWAY
18659,MARATHON-EQ,MARATHON
3048,SCI-EQ,SCI
7325,DCMSRIND-EQ,DCMSRIND
3024,JINDALSAW-EQ,JINDALSAW
40,AEGISCHEM-EQ,AEGISCHEM
15204,ARIES-EQ,ARIES
399,NIACL-EQ,NIACL
6262,SELMC-EQ,SELMC
17313,LLOYDSME-EQ,LLOYDSME
10633,HDFCNIF100-EQ,HDFCNIF100
14742,AXSENSEX-EQ,AXSENSEX
19401,BOROLTD-EQ,BOROLTD
14657,INSECTICID-EQ,INSECTICID
5020,SVPGLOB-EQ,SVPGLOB
24969,WINDMACHIN-EQ,WINDMACHIN
10297,PPL-EQ,PPL
1923,WEALTH-EQ,WEALTH
330,VALIANTORG-EQ,VALIANTORG
19184,SFL-EQ,SFL
2454,CENTRUM-EQ,CENTRUM
14014,LUMAXTECH-EQ,LUMAXTECH
25,ADANIENT-EQ,ADANIENT
7936,AVANTIFEED-EQ,AVANTIFEED
16827,KOKUYOCMLN-EQ,KOKUYOCMLN
201,UNIDT-EQ,UNIDT
24595,RUSHIL-EQ,RUSHIL
14319,TFL-EQ,TFL
2289,HLEGLAS-EQ,HLEGLAS
6836,FOCUS-EQ,FOCUS
14278,ORIENTBELL-EQ,ORIENTBELL
14233,HDFCSML250-EQ,HDFCSML250
7672,IMAGICAA-EQ,IMAGICAA
13342,VAKRANGEE-EQ,VAKRANGEE
24184,PIIND-EQ,PIIND
13359,KFINTECH-EQ,KFINTECH
10508,MOHEALTH-EQ,MOHEALTH
18479,ISFT-EQ,ISFT
21705,MEDIASSIST-EQ,MEDIASSIST
1663,ATFL-EQ,ATFL
2987,NAZARA-EQ,NAZARA
11961,SEMAC-EQ,SEMAC
13557,AVONMORE-EQ,AVONMORE
13870,KUANTUM-EQ,KUANTUM
4594,KOTHARIPET-EQ,KOTHARIPET
6579,FINOPB-EQ,FINOPB
22344,ALPL30IETF-EQ,ALPL30IETF
1200,ESG-EQ,ESG
15391,RACE-EQ,RACE
9652,RELCHEMQ-EQ,RELCHEMQ
18962,RAJRATAN-EQ,RAJRATAN
8510,GATEWAY-EQ,GATEWAY
11778,GOKEX-EQ,GOKEX
778,KEEPLEARN-EQ,KEEPLEARN
308,BAJAJHIND-EQ,BAJAJHIND
10876,HDFCSILVER-EQ,HDFCSILVER
11293,UNIENTER-EQ,UNIENTER
10557,NAVKARCORP-EQ,NAVKARCORP
6663,SIGACHI-EQ,SIGACHI
2854,CRAFTSMAN-EQ,CRAFTSMAN
21750,LIQUIDCASE-EQ,LIQUIDCASE
11626,WELENT-EQ,WELENT
1372,HINDCOMPOS-EQ,HINDCOMPOS
6711,IVC-EQ,IVC
14511,BANSWRAS-EQ,BANSWRAS
3799,WSTCSTPAPR-EQ,WSTCSTPAPR
7413,MANAKCOAT-EQ,MANAKCOAT
20776,BHAGYANGR-EQ,BHAGYANGR
10945,TMB-EQ,TMB
16863,LPDC-EQ,LPDC
14889,ASIANTILES-EQ,ASIANTILES
3466,TFCILTD-EQ,TFCILTD
1597,INGERRAND-EQ,INGERRAND
2717,PRECWIRE-EQ,PRECWIRE
3834,BHARATRAS-EQ,BHARATRAS
7451,NIFTY50ADD-EQ,NIFTY50ADD
3579,UNICHEMLAB-EQ,UNICHEMLAB
3009,KOHINOOR-EQ,KOHINOOR
14260,PGIL-EQ,PGIL
14194,NINSYS-EQ,NINSYS
17433,NETWEB-EQ,NETWEB
13675,NRL-EQ,NRL
14781,141NSETEST-EQ,141NSETEST
4160,NORBTEAEXP-EQ,NORBTEAEXP
15362,VGUARD-EQ,VGUARD
25724,RUPA-EQ,RUPA
5528,KOTHARIPRO-EQ,KOTHARIPRO
11195,INDIGO-EQ,INDIGO
11441,LICNETFSEN-EQ,LICNETFSEN
1508,ASTERDM-EQ,ASTERDM
6961,MENONBE-EQ,MENONBE
1038,FINCABLES-EQ,FINCABLES
13116,QUICKHEAL-EQ,QUICKHEAL
967,SUBEXLTD-EQ,SUBEXLTD
1515,INDIACEM-EQ,INDIACEM
13035,SAFARI-EQ,SAFARI
13303,IEL-EQ,IEL
21623,APEX-EQ,APEX
11149,SHRENIK-EQ,SHRENIK
