Timestamp,Open,High,Low,Close,Volume
2022-06-02 00:00:00+05:30,149.47,155.59,144.81,151.87,9601820.0
2022-06-03 00:00:00+05:30,153.33,154.47,145.47,146.73,9909883.0
2022-06-06 00:00:00+05:30,149.98,152.0,144.01,146.61,5726930.0
2022-06-07 00:00:00+05:30,147.78,149.4,145.48,148.62,3345965.0
2022-06-08 00:00:00+05:30,150.0,150.66,147.23,148.95,3345405.0
2022-06-09 00:00:00+05:30,148.8,148.89,146.74,148.0,3049345.0
2022-06-10 00:00:00+05:30,146.8,151.46,146.21,150.9,2849315.0
2022-06-13 00:00:00+05:30,149.7,152.8,147.05,149.61,3049925.0
2022-06-14 00:00:00+05:30,149.2,158.8,148.21,154.74,6107740.0
2022-06-15 00:00:00+05:30,157.8,161.12,155.0,157.37,9314450.0
2022-06-16 00:00:00+05:30,158.78,158.99,153.09,155.83,5168360.0
2022-06-17 00:00:00+05:30,154.0,155.22,149.21,150.21,10683145.0
2022-06-20 00:00:00+05:30,150.21,151.8,144.2,150.47,7589335.0
2022-06-21 00:00:00+05:30,151.8,151.8,146.09,147.74,2979045.0
2022-06-22 00:00:00+05:30,148.16,151.8,146.1,149.7,7728045.0
2022-06-23 00:00:00+05:30,150.96,153.54,147.06,150.71,4136290.0
2022-06-24 00:00:00+05:30,151.8,156.0,151.2,154.1,3395845.0
2022-06-27 00:00:00+05:30,155.98,155.98,145.62,155.27,2966540.0
2022-06-28 00:00:00+05:30,155.59,157.74,153.69,155.99,3195390.0
2022-06-29 00:00:00+05:30,155.2,158.0,154.01,157.02,2768490.0
2022-06-30 00:00:00+05:30,157.0,158.8,156.8,158.11,2690970.0
2022-07-01 00:00:00+05:30,158.0,161.8,157.24,158.8,4757870.0
2022-07-04 00:00:00+05:30,158.8,161.18,156.11,157.22,2432950.0
2022-07-05 00:00:00+05:30,157.22,162.0,157.2,159.07,7920860.0
2022-07-06 00:00:00+05:30,159.0,165.19,158.5,164.2,7488615.0
2022-07-07 00:00:00+05:30,166.0,169.4,163.62,165.44,6235225.0
2022-07-08 00:00:00+05:30,166.98,170.36,163.98,169.71,5183595.0
2022-07-11 00:00:00+05:30,170.26,173.15,169.13,171.05,4120710.0
2022-07-12 00:00:00+05:30,171.25,173.0,167.52,170.69,4979590.0
2022-07-13 00:00:00+05:30,172.6,176.0,171.49,174.94,6885275.0
2022-07-14 00:00:00+05:30,176.0,176.68,164.84,166.96,6345035.0
2022-07-15 00:00:00+05:30,168.8,171.0,163.54,165.32,4568965.0
2022-07-18 00:00:00+05:30,167.34,173.18,165.51,171.23,7827165.0
2022-07-19 00:00:00+05:30,171.73,176.85,170.73,175.82,6482210.0
2022-07-20 00:00:00+05:30,177.38,180.0,175.0,178.67,6240290.0
2022-07-21 00:00:00+05:30,179.65,182.12,173.6,174.39,7686115.0
2022-07-22 00:00:00+05:30,175.38,176.44,171.04,174.46,3495855.0
2022-07-25 00:00:00+05:30,175.52,178.0,172.6,174.99,2924260.0
